H|1402|892.18|
N|468|8681598|210162424|1|16|Ordinal|VALUE ADDED SERVICE|RARH|8.00|USD|2011-11-17 15:27:03|2011-11-17 15:27:03||ARARC||||||
C|468|8681598|210174242|||2011-12-05 15:31:27|MTN|2011-12-05 15:31:27|MTN||||||0|2313214|8008999949|3264607|
N|468|8681598|210174242|1|26|Ordinal|VALUE ADDED SERVICE|RARH|13.00|USD|2011-12-05 15:31:27|2011-12-05 15:31:27||ARARC||||||
C|468|8681598|210190050|||2011-12-22 11:29:02|MTN|2011-12-22 11:29:02|MTN||||||0|2330336|8008999949|7765044|
N|468|8681598|210190050|1|9|Ordinal|VALUE ADDED SERVICE|RARH|4.50|USD|2011-12-22 11:29:02|2011-12-22 11:29:02||ARARC||||||
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1579934|ALL CONFERENCING, 14641|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|14641||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210066791|||2012-01-06 08:01:49|MTN|2012-01-06 08:07:13|MTN||||||0|780078|8008999949|1765426|
B|468|8681598|210066791|1|5|Minute|LONG DISTANCE|L8R|0.03|USD|2012-01-06 08:01:54|2012-01-06 08:06:11|MTN|TX03S||2108826602|18008999949||Participant 1|
N|468|8681598|210066791|2|5|Minute|PACKAGE SURCHARGE|RDYA|0.05|USD|2012-01-06 08:01:54|2012-01-06 08:06:11|MTN|TX03S||2108826602|18008999949||Participant 1|
C|468|8681598|210124269|||2012-01-06 12:19:54|MTN|2012-01-06 12:32:14|MTN||||||0|780078|8008999949|1765426|
B|468|8681598|210124269|1|9|Minute|LONG DISTANCE|L8R|0.05|USD|2012-01-06 12:19:58|2012-01-06 12:28:02|MTN|TX03S||5159846512|18008999949||Participant 1|
N|468|8681598|210124269|2|9|Minute|PACKAGE SURCHARGE|RDYA|0.09|USD|2012-01-06 12:19:58|2012-01-06 12:28:02|MTN|TX03S||5159846512|18008999949||Participant 1|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1580148|ALL CONFERENCING, 1829237|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|1829237||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210202961|||2012-01-08 16:57:51|MTN|2012-01-08 18:13:06|MTN||||||0|780292|8008999949|1391879|
B|468|8681598|210202961|1|76|Minute|LONG DISTANCE|L8R|0.38|USD|2012-01-08 16:57:57|2012-01-08 18:13:01|MTN|TX02S||4135279346|18008999949||ALL CONFERENCING|
N|468|8681598|210202961|2|76|Minute|PACKAGE SURCHARGE|RDYA|0.76|USD|2012-01-08 16:57:57|2012-01-08 18:13:01|MTN|TX02S||4135279346|18008999949||ALL CONFERENCING|
B|468|8681598|210202961|4|74|Minute|LONG DISTANCE|L8R|0.37|USD|2012-01-08 16:59:30|2012-01-08 18:12:58|MTN|TX02S||8028889538|18008999949||Participant 3|
N|468|8681598|210202961|5|74|Minute|PACKAGE SURCHARGE|RDYA|0.74|USD|2012-01-08 16:59:30|2012-01-08 18:12:58|MTN|TX02S||8028889538|18008999949||Participant 3|
B|468|8681598|210202961|6|74|Minute|LONG DISTANCE|L8R|0.37|USD|2012-01-08 16:59:38|2012-01-08 18:12:59|MTN|TX02S||9076832853|18008999949||Participant 4|
N|468|8681598|210202961|7|74|Minute|PACKAGE SURCHARGE|RDYA|0.74|USD|2012-01-08 16:59:38|2012-01-08 18:12:59|MTN|TX02S||9076832853|18008999949||Participant 4|
B|468|8681598|210202961|8|73|Minute|LONG DISTANCE|L8R|0.37|USD|2012-01-08 17:00:35|2012-01-08 18:12:56|MTN|TX02S||4062242604|18008999949||Participant 5|
N|468|8681598|210202961|9|73|Minute|PACKAGE SURCHARGE|RDYA|0.73|USD|2012-01-08 17:00:35|2012-01-08 18:12:56|MTN|TX02S||4062242604|18008999949||Participant 5|
B|468|8681598|210202961|10|72|Minute|LONG DISTANCE|L8R|0.36|USD|2012-01-08 17:01:04|2012-01-08 18:13:01|MTN|TX02S||3153864034|18008999949||Participant 6|
